object_type,entry_time,exit_time,zone_of_entrance,zone_of_exit,camera_id
female,05.09.2025 09:51:29,05.09.2025 09:55:54,Entrance 1,Entrance 1,2
female,05.09.2025 09:54:10,05.09.2025 09:57:10,None,None,2
male,05.09.2025 10:00:09,05.09.2025 10:03:09,Entrance 1,Entrance 1,1
male,05.09.2025 10:01:00,05.09.2025 10:04:00,Entrance 1,Entrance 1,1
male,05.09.2025 10:01:25,05.09.2025 10:04:25,Entrance 1,Entrance 2,1
female,05.09.2025 10:02:29,05.09.2025 10:05:29,Entrance 1,Entrance 2,1
male,05.09.2025 10:03:10,05.09.2025 10:06:10,Entrance 1,Entrance 1,1
female,05.09.2025 10:00:00,05.09.2025 10:06:18,Entrance 1,Entrance 2,1
female,05.09.2025 10:02:38,05.09.2025 10:06:20,Entrance 1,Entrance 2,1
male,05.09.2025 10:00:19,05.09.2025 10:06:26,Entrance 1,Entrance 2,1
male,05.09.2025 10:00:19,05.09.2025 10:06:30,Entrance 2,Entrance 1,1
male,05.09.2025 09:58:22,05.09.2025 10:06:32,Entrance 1,Entrance 1,2
car,05.09.2025 08:33:15,05.09.2025 10:06:41,None,None,2
male,05.09.2025 10:00:00,05.09.2025 10:06:42,Entrance 1,Entrance 2,1
male,05.09.2025 10:02:16,05.09.2025 10:06:59,Entrance 2,Entrance 1,1
female,05.09.2025 10:03:21,05.09.2025 10:07:54,Entrance 1,Entrance 1,1
male,05.09.2025 10:04:09,05.09.2025 10:08:07,Entrance 1,None,1
female,05.09.2025 10:05:38,05.09.2025 10:08:38,Entrance 1,Entrance 1,1
female,05.09.2025 10:05:31,05.09.2025 10:09:47,Entrance 2,Entrance 2,1
male,05.09.2025 10:01:23,05.09.2025 10:09:49,Entrance 2,Entrance 2,1
car,05.09.2025 08:35:36,05.09.2025 10:09:50,None,None,2
car,05.09.2025 09:31:51,05.09.2025 10:09:51,None,None,1
male,05.09.2025 10:07:31,05.09.2025 10:10:31,None,Entrance 1,2
female,05.09.2025 10:07:50,05.09.2025 10:10:50,Entrance 1,None,2
male,05.09.2025 10:04:37,05.09.2025 10:10:54,Entrance 1,Entrance 2,1
female,05.09.2025 10:05:21,05.09.2025 10:11:31,Entrance 2,Entrance 1,1
male,05.09.2025 10:04:10,05.09.2025 10:11:44,Entrance 2,Entrance 2,1
female,05.09.2025 10:01:45,05.09.2025 10:11:45,Entrance 1,Entrance 1,2
female,05.09.2025 10:09:21,05.09.2025 10:12:21,None,Entrance 1,1
male,05.09.2025 10:08:09,05.09.2025 10:12:36,Entrance 1,Entrance 1,1
male,05.09.2025 10:06:01,05.09.2025 10:12:42,None,Entrance 1,1
male,05.09.2025 10:10:06,05.09.2025 10:13:06,Entrance 1,Entrance 2,1
female,05.09.2025 10:10:02,05.09.2025 10:13:14,Entrance 1,Entrance 1,2
male,05.09.2025 10:06:34,05.09.2025 10:14:03,Entrance 2,Entrance 2,1
male,05.09.2025 10:04:37,05.09.2025 10:14:37,Entrance 1,Entrance 1,1
male,05.09.2025 10:06:09,05.09.2025 10:14:55,Entrance 2,Entrance 1,1
male,05.09.2025 10:06:11,05.09.2025 10:15:59,Entrance 2,Entrance 1,1
female,05.09.2025 10:11:45,05.09.2025 10:16:28,Entrance 2,Entrance 1,1
male,05.09.2025 10:11:28,05.09.2025 10:16:43,Entrance 2,Entrance 1,1
male,05.09.2025 10:12:30,05.09.2025 10:16:51,Entrance 1,Entrance 1,1
female,05.09.2025 10:10:01,05.09.2025 10:16:53,Entrance 1,Entrance 2,1
female,05.09.2025 10:10:12,05.09.2025 10:17:11,Entrance 1,Entrance 1,2
female,05.09.2025 10:07:57,05.09.2025 10:17:57,Entrance 2,Entrance 2,1
female,05.09.2025 10:12:13,05.09.2025 10:18:02,Entrance 1,Entrance 1,2
female,05.09.2025 10:13:04,05.09.2025 10:18:51,Entrance 1,Entrance 1,2
female,05.09.2025 10:12:52,05.09.2025 10:19:01,Entrance 1,Entrance 1,2
female,05.09.2025 10:14:48,05.09.2025 10:19:03,Entrance 1,Entrance 2,1
male,05.09.2025 10:11:56,05.09.2025 10:19:08,Entrance 2,Entrance 2,1
female,05.09.2025 10:15:00,05.09.2025 10:19:19,Entrance 1,Entrance 2,1
male,05.09.2025 10:15:39,05.09.2025 10:21:30,Entrance 1,Entrance 1,1
female,05.09.2025 10:13:31,05.09.2025 10:22:07,Entrance 2,Entrance 2,1
male,05.09.2025 10:17:44,05.09.2025 10:22:18,Entrance 1,Entrance 1,1
female,05.09.2025 10:18:42,05.09.2025 10:22:24,Entrance 1,Entrance 1,1
male,05.09.2025 10:13:42,05.09.2025 10:22:33,Entrance 1,Entrance 2,1
male,05.09.2025 10:14:31,05.09.2025 10:22:45,Entrance 2,Entrance 1,1
male,05.09.2025 10:19:58,05.09.2025 10:22:58,None,Entrance 2,1
female,05.09.2025 10:19:43,05.09.2025 10:23:25,Entrance 1,Entrance 1,2
male,05.09.2025 10:18:21,05.09.2025 10:24:22,Entrance 1,Entrance 1,2
male,05.09.2025 10:19:37,05.09.2025 10:24:26,Entrance 1,Entrance 1,1
male,05.09.2025 10:21:28,05.09.2025 10:24:28,None,Entrance 2,1
female,05.09.2025 10:15:44,05.09.2025 10:24:30,Entrance 1,Entrance 1,2
male,05.09.2025 10:18:36,05.09.2025 10:24:36,Entrance 2,Entrance 1,1
female,05.09.2025 10:21:50,05.09.2025 10:24:50,Entrance 1,Entrance 1,1
male,05.09.2025 10:19:16,05.09.2025 10:25:16,Entrance 1,Entrance 1,2
female,05.09.2025 10:20:23,05.09.2025 10:25:22,Entrance 2,Entrance 2,1
male,05.09.2025 10:20:00,05.09.2025 10:25:25,Entrance 1,Entrance 1,2
female,05.09.2025 10:20:59,05.09.2025 10:25:33,Entrance 2,Entrance 2,1
